Here is the frequency of each word in the given text:

Word          Frequency
------------------------
Google        4
Choose        1
how           1
you           2
search        8
type          1
speak         1
or            2
take          1
a             2
photo         1
The           1
app           2
is            1
an            1
easy          1
way           1
to            2
on            1
iPhone        1
NO            1
THANKS        1
TRY           1
IT            1
Get           1
Home          1
history       4
Saved         1
settings      3
Your          2
data          2
in            3
SafeSearch    1
Dark          2
theme         2
off           2
works         1
